column,row,value,qnode
,,EN.HPT.THRD.NO,P110427
,,EN.MAM.THRD.NO,P110428
,,EN.POP.DNST,P110429
,,EN.POP.EL5M.RU.ZS,P110430
,,EN.POP.EL5M.UR.ZS,P110431
,,EN.POP.EL5M.ZS,P110432
,,EN.POP.SLUM.UR.ZS,P110433
,,EN.URB.LCTY,P110434
,,EN.URB.LCTY.UR.ZS,P110435
,,EN.URB.MCTY,P110436
,,EN.URB.MCTY.TL.ZS,P110437
,,EP.PMP.DESL.CD,P110438
,,EP.PMP.SGAS.CD,P110439
,,ER.FSH.AQUA.MT,P110440
,,ER.FSH.CAPT.MT,P110441
,,ER.FSH.PROD.MT,P110442
,,ER.GDP.FWTL.M3.KD,P110443
,,ER.H2O.FWAG.ZS,P110444
,,ER.H2O.FWDM.ZS,P110445
,,ER.H2O.FWIN.ZS,P110446
,,ER.H2O.FWTL.K3,P110447
,,ER.H2O.FWTL.ZS,P110448
,,ER.H2O.INTR.K3,P110449
,,ER.H2O.INTR.PC,P110450
,,ER.LND.PTLD.ZS,P110451
,,ER.MRN.PTMR.ZS,P110452
,,ER.PTD.TOTL.ZS,P110453
,,FB.AST.NPER.ZS,P110454
,,FB.ATM.TOTL.P5,P110455
,,FB.BNK.CAPA.ZS,P110456
,,FB.CBK.BRCH.P5,P110457
,,FB.CBK.BRWR.P3,P110458
,,FB.CBK.DPTR.P3,P110459
,,FB.POS.TOTL.P5,P110460
,,FD.AST.PRVT.GD.ZS,P110461
,,FD.RES.LIQU.AS.ZS,P110462
,,FI.RES.TOTL.CD,P110463
,,FI.RES.TOTL.DT.ZS,P110464
,,FI.RES.TOTL.MO,P110465
,,FI.RES.XGLD.CD,P110466
,,FM.AST.CGOV.ZG.M3,P110467
,,FM.AST.DOMO.ZG.M3,P110468
,,FM.AST.DOMS.CN,P110469
,,FM.AST.NFRG.CN,P110470
,,FM.AST.PRVT.ZG.M3,P110471
,,FM.LBL.BMNY.CN,P110472
,,FM.LBL.BMNY.GD.ZS,P110473
,,FM.LBL.BMNY.IR.ZS,P110474
,,FM.LBL.BMNY.ZG,P110475
,,FP.CPI.TOTL,P110476
,,FP.CPI.TOTL.ZG,P110477
,,FP.WPI.TOTL,P110478
,,FR.INR.DPST,P110479
,,FR.INR.LEND,P110480
,,FR.INR.LNDP,P110481
,,FR.INR.RINR,P110482
,,FR.INR.RISK,P110483
,,FS.AST.CGOV.GD.ZS,P110484
,,FS.AST.DOMO.GD.ZS,P110485
,,FS.AST.DOMS.GD.ZS,P110486
,,FS.AST.PRVT.GD.ZS,P110487
,,GB.XPD.RSDV.GD.ZS,P110488
,,GC.AST.TOTL.CN,P110489
,,GC.AST.TOTL.GD.ZS,P110490
,,GC.DOD.TOTL.CN,P110491
,,GC.DOD.TOTL.GD.ZS,P110492
,,GC.LBL.TOTL.CN,P110493
,,GC.LBL.TOTL.GD.ZS,P110494
,,GC.NFN.TOTL.CN,P110495
,,GC.NFN.TOTL.GD.ZS,P110496
,,GC.NLD.TOTL.CN,P110497
,,GC.NLD.TOTL.GD.ZS,P110498
,,GC.REV.GOTR.CN,P110499
,,GC.REV.GOTR.ZS,P110500
,,GC.REV.SOCL.CN,P110501
,,GC.REV.SOCL.ZS,P110502
,,GC.REV.XGRT.CN,P110503
,,GC.REV.XGRT.GD.ZS,P110504
,,GC.TAX.EXPT.CN,P110505
,,GC.TAX.EXPT.ZS,P110506
,,GC.TAX.GSRV.CN,P110507
,,GC.TAX.GSRV.RV.ZS,P110508
